"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"REST Functional Test Suite","Add Employee","Groovy Script - Test Data","groovy","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Add Employee","Method 1 - Request 1","restrequest","FAILED","Message:[Script Assertion] No such property: PropertiesTestStep for class: Script5
","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Groovy Script - Test Data","groovy","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Employee 1 - Request 1","restrequest","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Groovy Script - Data Loop","groovy","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Groovy Script - Test Data","groovy","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Employee 1 - Request 1","restrequest","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Groovy Script - Data Loop","groovy","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Groovy Script - Test Data","groovy","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Employee 1 - Request 1","restrequest","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Groovy Script - Data Loop","groovy","OK","","30-Oct-2020 14_44",
"REST Functional Test Suite","Get Employee","Properties","properties","OK","","30-Oct-2020 14_44",
